t,gt_x,gt_y,gt_theta,gt_psi1,odom_x,odom_y,odom_theta,odom_psi1,v_cmd,w_cmd
7.599999999999988987e+00,4.116485304807389944e+00,2.570507405713400306e+00,8.416368991683673695e-01,1.202316248529217979e-01,4.122535564896149474e+00,2.557292577250480647e+00,8.416368991683681466e-01,1.175100772820872330e-01,4.999080331760166751e-01,5.778445972000056940e-04
7.699999999999988631e+00,4.149791218134796900e+00,2.607788873074238900e+00,8.416876920405422791e-01,1.142583177419994739e-01,4.155842330353165082e+00,2.594573283339198344e+00,8.416876920405433893e-01,1.115371873798678415e-01,4.999191606331946924e-01,5.079287217526484710e-04
7.799999999999988276e+00,4.183095945636044810e+00,2.645072629865605762e+00,8.417327208984290987e-01,1.085772556256536653e-01,4.189147813330603931e+00,2.631856365272800868e+00,8.417327208984305420e-01,1.058632998111707357e-01,4.999283343468548524e-01,4.502885788710830894e-04
7.899999999999987921e+00,4.216399571484044984e+00,2.682358373797104623e+00,8.417730492539163833e-01,1.031751045699283165e-01,4.222452115828086328e+00,2.669141504814454002e+00,8.417730492539179377e-01,1.004744344001570477e-01,4.999358154287741884e-01,4.032835548737345732e-04
7.999999999999987566e+00,4.249702154988646896e+00,2.719645850452821811e+00,8.418096205447276326e-01,9.803903946441273887e-02,4.255755312973034776e+00,2.706428433403869516e+00,8.418096205447288538e-01,9.535716226678331298e-02,4.999417949829219610e-01,3.657129081087173716e-04
8.099999999999987210e+00,4.283003729354962097e+00,2.756934844472419321e+00,8.418433045904125667e-01,9.315677049874854232e-02,4.289057452556962247e+00,2.743716922641640021e+00,8.418433045904136769e-01,9.049863122064262522e-02,4.999463901762591922e-01,3.368404568486749726e-04
8.199999999999986855e+00,4.312318539462732581e+00,2.788495368615579562e+00,7.983511153340003830e-01,4.648072716297564633e-02,4.317751240376283661e+00,2.775847607214839474e+00,7.983511153340014932e-01,4.300522815124177556e-02,4.307800309395378169e-01,-4.349218925641216149e-01
8.299999999999986500e+00,4.343749908268166315e+00,2.819731135347121054e+00,7.626306083635701061e-01,9.409677869802303071e-03,4.348678107171289220e+00,2.807586222384421681e+00,7.626306083635713273e-01,5.326668554901742292e-03,4.431490474590754625e-01,-3.572050697043012146e-01
8.399999999999986144e+00,4.376930013667652553e+00,2.850605024767741469e+00,7.332502782598391278e-01,-1.979162760797658835e-02,4.381448303146887824e+00,2.838897194690661152e+00,7.332502782598403490e-01,-2.430178554881589834e-02,4.532397523431960229e-01,-2.938033010373093390e-01
8.499999999999985789e+00,4.411552031447579125e+00,2.881115791209672761e+00,7.090512584338235502e-01,-4.256196899521603322e-02,4.415736854199822758e+00,2.869783909265100519e+00,7.090512584338251045e-01,-4.734830470597592433e-02,4.614860637671089894e-01,-2.419901982601524448e-01
8.599999999999985434e+00,4.447361956165030605e+00,2.911282363572794019e+00,6.890930351091149042e-01,-6.009012350158130650e-02,4.451274990214477256e+00,2.900271377720337274e+00,6.890930351091167916e-01,-6.502884310092661713e-02,4.682355010254070637e-01,-1.995822332470833238e-01
8.699999999999985079e+00,4.484150432654865348e+00,2.941133897522887786e+00,6.726106657418948753e-01,-7.335572789611112532e-02,4.487841455789586931e+00,2.930395288206393278e+00,6.726106657418966517e-01,-7.834709704798738239e-02,4.737674944134048216e-01,-1.648236936722011770e-01
8.799999999999984723e+00,4.521745321182098820e+00,2.970703639895185599e+00,6.589808479195145008e-01,-8.316446314378642124e-02,4.525254561427255240e+00,2.960195286471730469e+00,6.589808479195160551e-01,-8.812946614948094504e-02,4.783074712012611585e-01,-1.362981782238057438e-01
8.899999999999984368e+00,4.560005241782590701e+00,3.000025277950579383e+00,6.476948643747302281e-01,-9.017791225695913349e-02,4.563365273900802599e+00,2.989711010999743568e+00,6.476948643747320045e-01,-9.505504228828068336e-02,4.820377993119383531e-01,-1.128598354478400623e-01
8.999999999999984013e+00,4.598814114630122241e+00,3.029130882233916022e+00,6.383369149428073097e-01,-9.493864224768257254e-02,4.602051376807161809e+00,3.018979889622667834e+00,6.383369149428090861e-01,-9.968098794041049815e-02,4.851063609070547789e-01,-9.357949431922896188e-02
9.099999999999983658e+00,4.638076613342907883e+00,3.058049852887971376e+00,6.305666985016098458e-01,-9.789112535979560548e-02,4.641212615245040141e+00,3.048036040728451024e+00,6.305666985016118442e-01,-1.024638134437895060e-01,4.876333164448954371e-01,-7.770216441197241863e-02
9.199999999999983302e+00,4.677714412939020683e+00,3.086808483211623155e+00,6.241053676547378970e-01,-9.939910329323008165e-02,4.680766696963707396e+00,3.076909849871587888e+00,6.241053676547400064e-01,-1.037771009973558617e-01,4.897164725676819708e-01,-6.461330846871882194e-02
